ADSID,IBRA_REGION,LONGITUDE,LATITUDE,SITE,SITE_TYPE,LAB_CODE,AGE,ERROR,C13_AGE,C13_ERROR,MATERIAL,MATERIAL_TOP_LEVEL,CONTEXT,DEPTH_FROM_SURFACE_CM,METHOD,TECHNIQUE,Data pertinent for time-series analysis or calibration,Open or Closed Site,Directly Related to occupation? Yes/Unknown,SOURCE,NOTES,RECORD_SOURCE,DATE_ISSUES,AGE_NORM,ADDITIONAL_DATA_ISSUES,
13570,NSW North Coast,152.61,-29.7,Jacky's Creek,Rockshelter,V-43,1225,70,,,Charcoal,Charcoal,"Trench 1(e), IIA","6-9""",Radiocarbon,,Terrestrial,Closed,Y,"Bermingham, 1966; McBryde, 1966","Shallow steeply angled rockshelter dug as part of a wider study of New England by McBryde (1974). Four levels levels of deposit with Level IA and IIA forming the bulk of the assemblage. Level IV at the base of the talus was sterile. This sample was taken near entrance of RS where stratigraphic complexity occurred. Level was richest in cultural material; implements including uniface pebble tools, broken ground-edged axes, and use-polished pieces. A few blade tools were also found, but no bone artefacts.",c14,,1225,,
13571,NSW North Coast,152.61,-29.7,Jacky's Creek,Rockshelter,V-44,1285,88,,,Charcoal,Charcoal,"Trench 3, IIA","9""",Radiocarbon,,Terrestrial,Closed,Y,"Bermingham, 1966; McBryde, 1966",Shallow steeply angled rockshelter dug as part of a wider study of New England by McBryde (1974). Four levels levels of deposit with Level IA and IIA forming the bulk of the assemblage. Level IV at the base of the talus was sterile. This sample was taken from similar area and stratigraphic layer to V-43.,c14,,1285,,
13572,NSW North Coast,152.61,-29.7,Jacky's Creek,Rockshelter,V-41,1310,70,,,Charcoal,Charcoal,"Trench 1(b), I","5-6""",Radiocarbon,,Terrestrial,Closed,Y,"Bermingham, 1966; McBryde, 1966","Shallow steeply angled rockshelter dug as part of a wider study of New England by McBryde (1974). Four levels levels of deposit with Level IA and IIA forming the bulk of the assemblage. Level IV at the base of the talus was sterile.  This level stratigraphically relates to V-45. Artefacts from this level include bone points, stone use-polished edge and part of a ground-edged axe.",c14,,1310,,
13573,NSW North Coast,152.61,-29.7,Jacky's Creek,Rockshelter,V-42,1465,75,,,Charcoal,Charcoal,"Trench 1(a), III","15""",Radiocarbon,,Terrestrial,Closed,Y,"Bermingham, 1966; McBryde, 1966",Shallow steeply angled rockshelter dug as part of a wider study of New England by McBryde (1974). Four levels levels of deposit with Level IA and IIA forming the bulk of the assemblage. Level IV at the base of the talus was sterile. This level retained limited archaeological evidence. Stratigraphically below V-41,c14,,1465,,
13574,NSW North Coast,152.91,-29.59,Seelands,Rockshelter,V-26,351,60,,,Charcoal,Charcoal,"Trench 2(d), II","6-9""",Radiocarbon,,Terrestrial,Closed,Y,"Bermingham, 1966; McBryde, 1966","An extensive study of the rockshleter including four trenches across various parts of the site. Radiocarbon dating and analysis done on each of the trenches, with later compilation in McBryde 1874. A compilation of all these trenches revealed a uniface pebble industry in levels, IV, V and VI composed primarily indurated mudstone, siltstone and greywacke (all available from the nearby Clarence River). These lower depths retained very few artefacts between c. 2000 - 5000 BP. Level IIIA and IV similarly contains greywacke uniface pebbles, but also the appearanance of blade tools,  geometric microliths and ground-edged tools (c. 2000 BP). Level IV also contains bone artefacts, which gain in importance in levels II and III. Levels I, II and III dominated by small tool tradition.. Same stratigraphic level as V-10. Uniface pebble tools, blade tools and bone implements all present in this unit.",c14,,351,,
13575,NSW North Coast,152.91,-29.59,Seelands,Rockshelter,V-10,626,86,,,Charcoal,Charcoal,"Trench 5 (d), II)","9-12""",Radiocarbon,,Terrestrial,Closed,Y,"Bermingham, 1966; McBryde, 1961, 1966","An extensive study of the rockshleter including four trenches across various parts of the site. Radiocarbon dating and analysis done on each of the trenches, with later compilation in McBryde 1874. A compilation of all these trenches revealed a uniface pebble industry in levels, IV, V and VI composed primarily indurated mudstone, siltstone and greywacke (all available from the nearby Clarence River). These lower depths retained very few artefacts between c. 2000 - 5000 BP. Level IIIA and IV similarly contains greywacke uniface pebbles, but also the appearanance of blade tools,  geometric microliths and ground-edged tools (c. 2000 BP). Level IV also contains bone artefacts, which gain in importance in levels II and III. Levels I, II and III dominated by small tool tradition. Stratigraphically the same level as V-26. Deposit includes uniface pebble tools, blade tools, geometric microliths and bone implements. This date is quoted as 1040 +/- 80 in McBryde, 1965.",c14,,626,,
13576,NSW North Coast,152.91,-29.59,Seelands,Rockshelter,V-25,867,80,,,Charcoal,Charcoal,"Trench 2(c), III","12""",Radiocarbon,,Terrestrial,Closed,Y,"Bermingham, 1966; McBryde, 1966","An extensive study of the rockshleter including four trenches across various parts of the site. Radiocarbon dating and analysis done on each of the trenches, with later compilation in McBryde 1874. A compilation of all these trenches revealed a uniface pebble industry in levels, IV, V and VI composed primarily indurated mudstone, siltstone and greywacke (all available from the nearby Clarence River). These lower depths retained very few artefacts between c. 2000 - 5000 BP. Level IIIA and IV similarly contains greywacke uniface pebbles, but also the appearanance of blade tools,  geometric microliths and ground-edged tools (c. 2000 BP). Level IV also contains bone artefacts, which gain in importance in levels II and III. Levels I, II and III dominated by small tool tradition.. Level contianing blades, uniface pebble tools and bone artefacts. Rich in animal bone, stone and bone artefacts",c14,,867,,
13577,NSW North Coast,152.91,-29.59,Seelands,Rockshelter,GaK-370,1210,30,,,Charcoal,Charcoal,"Trench 5(e), IIIA",,Radiocarbon,,Terrestrial,Closed,Y,"Bermingham, 1966; McBryde, 1965, 1966; Kigoshi et al., 1965","An extensive study of the rockshleter including four trenches across various parts of the site. Radiocarbon dating and analysis done on each of the trenches, with later compilation in McBryde 1874. A compilation of all these trenches revealed a uniface pebble industry in levels, IV, V and VI composed primarily indurated mudstone, siltstone and greywacke (all available from the nearby Clarence River). These lower depths retained very few artefacts between c. 2000 - 5000 BP. Level IIIA and IV similarly contains greywacke uniface pebbles, but also the appearanance of blade tools,  geometric microliths and ground-edged tools (c. 2000 BP). Level IV also contains bone artefacts, which gain in importance in levels II and III. Levels I, II and III dominated by small tool tradition. Stratigraphically relates to, but does not correlate with, V-11. Relates to the talus slope, which contained a dark black soil retaining few animal bones, blade tools, high concentrations of stone artefacts. Dates the first appearance of uniface pebbles edge ground artefacts in the region.",c14,,1210,,
13578,NSW North Coast,152.91,-29.59,Seelands,Rockshelter,V-11,2852,47,,,Charcoal,Charcoal,"Trench 5(e), IIIA","18""",Radiocarbon,,Terrestrial,Closed,Y,"Bermingham, 1966; McBryde, 1961, 1966","An extensive study of the rockshleter including four trenches across various parts of the site. Radiocarbon dating and analysis done on each of the trenches, with later compilation in McBryde 1874. A compilation of all these trenches revealed a uniface pebble industry in levels, IV, V and VI composed primarily indurated mudstone, siltstone and greywacke (all available from the nearby Clarence River). These lower depths retained very few artefacts between c. 2000 - 5000 BP. Level IIIA and IV similarly contains greywacke uniface pebbles, but also the appearanance of blade tools,  geometric microliths and ground-edged tools (c. 2000 BP). Level IV also contains bone artefacts, which gain in importance in levels II and III. Levels I, II and III dominated by small tool tradition. Suggestion by Bermingham that this date was erroneous. Relates to the talus slope, which contained a dark black soil retaining few animal bones, blade tools, high concentrations of stone artefacts, uniface pebbles and first evidence of edge ground artefacts.",c14,,2852,,
13579,NSW North Coast,152.91,-29.59,Seelands,Rockshelter,V-24,4042,66,,,Charcoal,Charcoal,"Trench 2(f), V","30""",Radiocarbon,,Terrestrial,Closed,Y,"Bermingham, 1966; McBryde, 1966","An extensive study of the rockshleter including four trenches across various parts of the site. Radiocarbon dating and analysis done on each of the trenches, with later compilation in McBryde 1874. A compilation of all these trenches revealed a uniface pebble industry in levels, IV, V and VI composed primarily indurated mudstone, siltstone and greywacke (all available from the nearby Clarence River). These lower depths retained very few artefacts between c. 2000 - 5000 BP. Level IIIA and IV similarly contains greywacke uniface pebbles, but also the appearanance of blade tools,  geometric microliths and ground-edged tools (c. 2000 BP). Level IV also contains bone artefacts, which gain in importance in levels II and III. Levels I, II and III dominated by small tool tradition. One of lowest levels of deposit, containing predominantly uniface pebbles and first appearance of backed blades",c14,,4042,,
13580,NSW North Coast,152.91,-29.59,Seelands,Rockshelter,V-27,6445,75,,,Charcoal,Charcoal,"Trench 1(c), IV","18-24""",Radiocarbon,,Terrestrial,Closed,Y,"Bermingham, 1966; McBryde, 1966","An extensive study of the rockshleter including four trenches across various parts of the site. Radiocarbon dating and analysis done on each of the trenches, with later compilation in McBryde 1874. A compilation of all these trenches revealed a uniface pebble industry in levels, IV, V and VI composed primarily indurated mudstone, siltstone and greywacke (all available from the nearby Clarence River). These lower depths retained very few artefacts between c. 2000 - 5000 BP. Level IIIA and IV similarly contains greywacke uniface pebbles, but also the appearanance of blade tools,  geometric microliths and ground-edged tools (c. 2000 BP). Level IV also contains bone artefacts, which gain in importance in levels II and III. Levels I, II and III dominated by small tool tradition.. Associated with large primary flakes and uniface pebble tools. No blade tools present. Referred to in McBryde (1966) as 4494 +/- 74",c14,,6445,,
13581,NSW North Coast,152.84,-29.59,Whiteman Creek Site III,Rockshelter,GaK-371,310,100,,,Charcoal,Charcoal,L-I,"4""",Radiocarbon,,Terrestrial,Closed,Y,"Kigoshi et al, 1965; McBryde, 1965, 1966","Part of a wider study of New England prehistory by McBryde (1974). Charcoal from an occupation deposit, 9"" deep and containg animal bone, shell, but few artefacts. Associated with a high number of waste flakes. Dates most recent period of occupation. McBryde made comparisons with Glen Aire.",c14,,310,,
13582,NSW North Coast,152.84,-29.59,Whiteman Creek Site III,Rockshelter,GaK-372,1640,120,,,Charcoal,Charcoal,"L-VI, a","c.8""",Radiocarbon,,Terrestrial,Closed,Y,"Kigoshi et al, 1965; McBryde, 1965","Part of a wider study of New England prehistory by McBryde (1974). Charcoal sample from a brown soil forming upper stratigraphic deposit at entrance of shelter. Level was rich in artefacts (n=2600), predominantly uniface pebble tools, similar to those of Level IIIA at Seelands.",c14,,1640,,
13583,NSW North Coast,152.84,-29.59,Whiteman Creek Site III,Rockshelter,GaK-373,1870,140,,,Charcoal,Charcoal,"L-VI, b","c.12""",Radiocarbon,,Terrestrial,Closed,Y,"Kigoshi et al, 1965; McBryde, 1965, 1966","Part of a wider study of New England prehistory by McBryde (1974). Date comparable with GaK-371. Associated with a high number of waste flakes. Dates most recent period of occupation. McBryde made comparisons with Glen Aire. Section drawing in the McBryde 1965 paper indicates that this date actually relates to Level VI, not Level I.",c14,,1870,,
13584,NSW South Western Slopes,150.34,-33.1,Capertee (Site 3),Rockshelter,V-33,2865,60,,,Charcoal,Charcoal,,"8-10""",Radiocarbon,,Terrestrial,Closed,U,"Bermingham, 1966","Date associated with Bondaian implements. Dates upper period of Eastern Regional Sequence, which consists of ground-edged axes, knapped scrapers, knives, burins, Bondi points, geometric micorliths, fabricators, gum hafting, elouera adze. Bones of lizard and mammals present. The assemblage from this site was revisited by Hiscock who demonstrated that backed blades were older (6-7ka) and that the proliferation occurred between 3.5-1.5 ka (Hiscock & Attenbrow, 2004)",c14,,2865,,
13585,NSW South Western Slopes,150.34,-33.1,Capertee (Site 3),Rockshelter,V-34,3625,70,,,Charcoal,Charcoal,Layer 6,"41-43""",Radiocarbon,,Terrestrial,Closed,U,"Bermingham, 1966","Dates upper period of 'Capertian' culture, includes uniface pebble implements. The assemblage from this site was revisited by Hiscock who demonstrated that backed blades were older (6-7ka) and that the proliferation occurred between 3.5-1.5 ka (Hiscock & Attenbrow, 2004)",c14,,3625,,
13586,NSW South Western Slopes,150.34,-33.1,Capertee (Site 3),Rockshelter,V-18,7360,125,,,Charcoal,Charcoal,Layers 8-9,"68-76""",Radiocarbon,,Terrestrial,Closed,Y,"McCarthy, 1964 cit. Flood, 1983, Bermingham, 1966; Megaw, 1968","Basal age of site. Associated with 'Capertian' phase of the Eastern Regional Sequence. Sample from a hearth at bottom of deposit with large primary flakes and blade implments with dentated edges. No bone material present. The assemblage from this site was revisited by Hiscock who demonstrated that backed blades were older (6-7ka) and that the proliferation occurred between 3.5-1.5 ka (Hiscock & Attenbrow, 2004)",c14,,7360,,
13587,NSW South Western Slopes,150.33,-32.41,Goulburn River Valley,Rockshelter,Not given,2160,90,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Closed,U,"Haglund cit Koettig, 1986",Brief reference to a shelter dug by L. Haglund as part of a study of Kerrabee Dam. Date was not basal,c14,,2160,Information within this entry has been inferred by authors - see Notes,
13588,NSW South Western Slopes,150.33,-32.41,Goulburn River Valley,Rockshelter,Not given,3170,210,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Closed,U,"Haglund cit Koettig, 1986",Brief reference to a shelter dug by L. Haglund as part of a study of Kerrabee Dam. Date was not basal,c14,,3170,Information within this entry has been inferred by authors - see Notes,
13589,NSW South Western Slopes,150.34,-33.1,Noola,Rockshelter,V-36,5320,88,,,Charcoal,Charcoal,Hearth,"25""",Radiocarbon,,Terrestrial,Closed,Y,"Tindale 1968, Bermingham, 1966",Hearth underneath a rock slab. Dates end of relatively long sterile period after V-35. and begininng of more intensive occupation ('Mudukian'),c14,,5320,,
13590,NSW South Western Slopes,150.34,-33.1,Noola,Rockshelter,GaK-334,11600,400,,,Charcoal,Charcoal,,"121""",Radiocarbon,,Terrestrial,Closed,Y,Kunihiko et al. 1964,Date associated with a horizon containing a flaked pebble chopper. Deposit was of kaolin and quartz derived from weathering of the rockshelter.,c14,,11600,,
13591,NSW South Western Slopes,150.34,-33.1,Noola,Rockshelter,V-35,12550,185,,,Charcoal,Charcoal,Hearth,"74""",Radiocarbon,,Terrestrial,Closed,Y,"Bermingham, 1966",Hearth on a pre-prepared floor of rounded stones. A large and characteristic implement of nosed-grave type was found in the ashes. Dates a 'Tartangan' horizon.,c14,,12550,,
13592,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,ANU-6842,220,70,,,Charcoal,Charcoal,top hearth,16cm bsl,Radiocarbon,,Terrestrial,Closed,Y,Cane 1995,Hearth,c14,,220,,
13593,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,ANU-6846,2490,200,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Closed,Y,Cane 1995,same hearth as ANU-6845,c14,,2490,,
13594,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,ANU-6843,2800,70,,,Charcoal,Charcoal,Hearth,53cm bsl,Radiocarbon,,Terrestrial,Closed,Y,Cane 1995,Hearth,c14,,2800,,
13595,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,ANU 1024,3160,75,,,Charcoal,Charcoal,spit 6-7 50 cm bs (originally reported as 2650?100),,Radiocarbon,,Terrestrial,Closed,U,Marun 1974; Martin 1973,,c14,,3160,,
13596,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,ANU-6847,3720,150,,,Charcoal,Charcoal,base of black unit,,Radiocarbon,,Terrestrial,Closed,U,Cane 1995,,c14,,3720,,
13597,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,ANU 397,4160,160,,,Charcoal,Charcoal,spit 12-13 110-130 cm  bs (originally reported as 4140?160),,Radiocarbon,,Terrestrial,Closed,U,Marun 1974; Martin 1973,,c14,,4160,,
13598,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,ANU-6845,4750,180,,,Charcoal,Charcoal,hearth,116 cm bsl,Radiocarbon,,Terrestrial,Closed,Y,Cane 1995,Hearth,c14,,4750,,
13599,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,ANU-6844,5460,70,,,Charcoal,Charcoal,hearth,100 cm bsl,Radiocarbon,,Terrestrial,Closed,Y,Cane 1995,Hearth,c14,,5460,,
13600,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,ANU-6848,5870,430,,,Charcoal,Charcoal,top of orange unit,,Radiocarbon,,Terrestrial,Closed,U,Cane 1995,,c14,,5870,,
13601,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,ANU 1040,8300,200,,,Charcoal,Charcoal,spit 17-18 170-180 cm bs (originally reported as 8780?140),,Radiocarbon,,Terrestrial,Closed,U,Marun 1974; Martin 1973,,c14,,8300,,
13602,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,OZ-A062,9130,810,,,Charcoal from hearth,Charcoal,145cm bsl,,Radiocarbon,,Terrestrial,Closed,Y,Roberts et al 1996,,c14,,9130,,
13603,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,ANU-6850,9270,140,,,Charcoal from hearth,Charcoal,145cm bsl,,Radiocarbon,,Terrestrial,Closed,Y,Roberts et al 1996,,c14,,9270,,
13604,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,ANU-6849,9530,190,,,Charcoal from hearth,Charcoal,145cm bsl,,Radiocarbon,,Terrestrial,Closed,Y,Roberts et al 1996,,c14,,9530,,
13605,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,ANU 1041,12420,130,,,Charcoal,Charcoal,spit 23-24 230-240  cm bs (originally reported as 11950?250),,Radiocarbon,,Terrestrial,Closed,U,Marun 1974; Martin 1973,,c14,,12420,,
13606,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,ANU 1042,18680,2160,,,Charcoal,Charcoal,spit 39-40 390-420 cm  bs (originally reported as 20200?1000),,Radiocarbon,,Terrestrial,Closed,U,Marun 1974; Martin 1973,,c14,,18680,,
13607,Nullarbor,129.85,-31.39,Koonalda Cave,Rockshelter,Gak-510,13700,270,,,Charcoal from hearth,Charcoal,"Area C, trench III, Top Fire (25cm bsl)",,Radiocarbon,,Terrestrial,Closed,Y,"Wright, 1971",,c14,,13700,,
13608,Nullarbor,129.85,-31.39,Koonalda Cave,Rockshelter,ANU-70,15850,320,,,Charcoal from hearth,Charcoal,"Area C, trench III, Top Fire (25cm bsl)",,Radiocarbon,,Terrestrial,Closed,Y,"Wright, 1971",,c14,,15850,,
13609,Nullarbor,129.85,-31.39,Koonalda Cave,Rockshelter,ANU-71,19300,350,,,Charcoal from hearth,Charcoal,"Area C, trench III, Middle Fire (100cm bsl)",,Radiocarbon,,Terrestrial,Closed,Y,"Wright, 1971",,c14,,19300,,
13610,Nullarbor,129.85,-31.39,Koonalda Cave,Rockshelter,V-96,19300,720,,,Charcoal from hearth,Charcoal,"Area C, trench III, Bottom Fire (130cm bsl)",,Radiocarbon,,Terrestrial,Closed,Y,"Wright, 1971",,c14,,19300,,
13611,Nullarbor,129.85,-31.39,Koonalda Cave,Rockshelter,ANU-148,19400,450,,,Charcoal,Charcoal,"Areas A and B, base of red deposit",,Radiocarbon,,Terrestrial,Closed,Y,"Wright, 1971",,c14,,19400,,
13612,Nullarbor,129.85,-31.39,Koonalda Cave,Rockshelter,V-92,19900,2000,,,Charcoal,Charcoal,"Surface near the ""Squeeze""",,Radiocarbon,,Terrestrial,Closed,U,"Wright, 1971",,c14,,19900,,
13613,Nullarbor,129.85,-31.39,Koonalda Cave,Rockshelter,ANU-245,21900,540,,,Charcoal from hearth,Charcoal,"Area C, trench III, Bottom Fire (130cm bsl)",,Radiocarbon,,Terrestrial,Closed,Y,"Wright, 1971",,c14,,21900,,
13614,Nullarbor,129.85,-31.39,Koonalda Cave,Rockshelter,ANU-244,23700,850,,,Charcoal,Charcoal,"Areas A and B, base of red deposit",,Radiocarbon,,Terrestrial,Closed,U,"Wright, 1971",,c14,,23700,,
13615,Nullarbor,129.85,-31.39,Koonalda Cave,Rockshelter,V-82,31000,1650,,,Charcoal from hearth,Charcoal,"Area C, trench III, Bottom Fire (130cm bsl)",,Radiocarbon,,Terrestrial,Closed,U,"Wright, 1971",,c14,,31000,,
13616,Nullarbor,129.85,-31.39,Koonalda Cave,Rockshelter,ANU-149,>10000,na,,,Charcoal,Charcoal,"Area C, trench III, red deposit",,Radiocarbon,,Unusuable,Closed,,"Wright, 1971",,c14,"Date not associated with human activity, or is problematic for time-series analysis - see Notes",,,
13617,Nullarbor,127.04,-31.98,Madura (Mereguda N62,Rockshelter,ANU 800,4260,130,,,Charcoal,Charcoal,180-195 cm bs,,Radiocarbon,,Terrestrial,Closed,U,Martin 1973,,c14,,4260,,
13618,Nullarbor,127.04,-31.98,Madura (Mereguda N62,Rockshelter,ANU 396,7880,390,,,Charcoal,Charcoal,320-330 cm bs,,Radiocarbon,,Terrestrial,Closed,U,Martin 1973,,c14,,7880,,
13619,Nullarbor,127.04,-31.98,Madura (Mereguda N62),Rockshelter,ANU 807,3450,95,,,Charcoal,Charcoal,75-90 cm bs,,Radiocarbon,,Terrestrial,Closed,U,Martin 1973,,c14,,3450,,
13620,Nullarbor,126.68,-32.03,Norina,Rockshelter,ANU 801,1300,85,,,Charcoal,Charcoal,15-23 cm bs,,Radiocarbon,,Terrestrial,Closed,U,Martin 1973,,c14,,1300,,
13621,Nullarbor,126.68,-32.03,Norina,Rockshelter,ANU 802,6150,115,,,Charcoal,Charcoal,75-90 cm bs,,Radiocarbon,,Terrestrial,Closed,U,Martin 1973,,c14,,6150,,
13622,Nullarbor,126.68,-32.03,Norina,Rockshelter,ANU 398,9360,175,,,Charcoal,Charcoal,135-150 cm bs,,Radiocarbon,,Terrestrial,Closed,U,Martin 1973,,c14,,9360,,
13623,Ord Victoria Plain,126,-18.74,Japi,Rockshelter,Wk-7604,340,60,,,Charcoal from hearth,Charcoal,Excavation unit 5,20,Radiocarbon,,Terrestrial,Closed,Y,"Balme, 2000","Spit 5 marks the beginning of a steady increase in artefact discard, peaking at spit 3 with >1200 artefacts then declining to spit 1.",c14,,340,,
13624,Ord Victoria Plain,126,-18.74,Riwi,Rockshelter,Wk-7605,5290,60,,,Scattered charcoal,Charcoal,Excavation unit 3,10,Radiocarbon,,Terrestrial,Closed,Y,"Balme, 2000","Stone lithics, shell, bone and ochre indicate occupation through the Riwi sequence, although a discontinuity is likely to occur between Spits 3 and 5 (where dates range from 5,000 to 30,000 BP). Intensification occurs within spit 10 and from spit 7 to 3.",c14,,5290,,
13625,Ord Victoria Plain,126,-18.74,Riwi,Rockshelter,Wk-7896,29550,290,,,Charcoal lense,Charcoal,Excavation unit 5,20,Radiocarbon,,Terrestrial,Closed,U,"Balme, 2000","Stone lithics, shell, bone and ochre indicate occupation through the Riwi sequence, although a discontinuity is likely to occur between Spits 3 and 5 (where dates range from 5,000 to 30,000 BP). Intensification occurs within spit 10 and from spit 7 to 3.",c14,,29550,,
13626,Ord Victoria Plain,126,-18.74,Riwi,Rockshelter,Wk-7606,31860,450,,,Charcoal from hearth,Charcoal,Excavation unit 7,25,Radiocarbon,,Terrestrial,Closed,Y,"Balme, 2000","Stone lithics, shell, bone and ochre indicate occupation through the Riwi sequence, although a discontinuity is likely to occur between Spits 3 and 5 (where dates range from 5,000 to 30,000 BP). Intensification occurs within spit 10 and from spit 7 to 3.",c14,,31860,,
13627,Ord Victoria Plain,126,-18.74,Riwi,Rockshelter,ANUA-13006,40700,1260,,,Charcoal,Charcoal,Excavation unit 16,95,Radiocarbon,,Terrestrial,Closed,U,"Balme, 2000","Stone lithics, shell, bone and ochre indicate occupation through the Riwi sequence, although a discontinuity is likely to occur between Spits 3 and 5 (where dates range from 5,000 to 30,000 BP). Intensification occurs within spit 10 and from spit 7 to 3.",c14,,40700,,
13628,Ord Victoria Plain,126,-18.74,Riwi,Rockshelter,ANUA-13005,41300,1020,,,Charcoal from hearth,Charcoal,Excavation unit 13,65,Radiocarbon,,Terrestrial,Closed,Y,"Balme, 2000","Stone lithics, shell, bone and ochre indicate occupation through the Riwi sequence, although a discontinuity is likely to occur between Spits 3 and 5 (where dates range from 5,000 to 30,000 BP). Intensification occurs within spit 10 and from spit 7 to 3.",c14,,41300,,
13629,Ord Victoria Plain,126,-18.74,Riwi,Rockshelter,Wk-7607,>40 000,,,,Charcoal from hearth,Charcoal,Excavation unit 14,70,Radiocarbon,,Unusuable,Open,U,"Balme, 2000","Stone lithics, shell, bone and ochre indicate occupation through the Riwi sequence, although a discontinuity is likely to occur between Spits 3 and 5 (where dates range from 5,000 to 30,000 BP). Intensification occurs within spit 10 and from spit 7 to 3.",c14,,,Information within this entry has been inferred by authors - see Notes,
13630,Ord Victoria Plain,127.19,-18.99,Wilinyjibari,Rockshelter,Wk-6644,230,80,,,Charcoal,Charcoal,Unit 3,7.25,Radiocarbon,,Terrestrial,Closed,U,"Harrison & Frink, 2000","Artefact discard begins at 70 cm below surface and rising to a peak at approximately 30 cm, before declining to present. Paper also indicates a correlation between sediment accumulation and the use of the shelter by humans.",c14,,230,,
13631,Ord Victoria Plain,127.19,-18.99,Wilinyjibari,Rockshelter,Wk-6645,2100,140,,,Charcoal,Charcoal,Unit 17,48.5,Radiocarbon,,Terrestrial,Closed,U,"Harrison & Frink, 2000","Artefact discard begins at 70 cm below surface and rising to a peak at approximately 30 cm, before declining to present. Paper also indicates a correlation between sediment accumulation and the use of the shelter by humans.",c14,,2100,,
13632,Ord Victoria Plain,127.19,-18.99,Wilinyjibari,Rockshelter,Wk-6646,2420,170,,,Charcoal,Charcoal,Unit 20,61.5,Radiocarbon,,Terrestrial,Closed,U,"Harrison & Frink, 2000","Artefact discard begins at 70 cm below surface and rising to a peak at approximately 30 cm, before declining to present. Paper also indicates a correlation between sediment accumulation and the use of the shelter by humans.",c14,,2420,,
13633,Ord Victoria Plain,127.19,-18.99,Wilinyjibari,Rockshelter,Wk-7464,Modern,,,,Charcoal,Charcoal,Unit 6,12,Radiocarbon,,Unusuable,Closed,U,"Harrison & Frink, 2000","Artefact discard begins at 70 cm below surface and rising to a peak at approximately 30 cm, before declining to present. Paper also indicates a correlation between sediment accumulation and the use of the shelter by humans.",c14,"Date not associated with human activity, or is problematic for time-series analysis - see Notes",,,
13634,Pilbara (coast),117.67,-20.70,Andara Rockshelter,Rockshelter,Wk-2647,4240,60,,,Anadara granosa shell,Marine Shell,30cm bsl,,Radiocarbon,,Marine,Closed,U,"Veth 1995, Bradshaw, 1995, O'Connor, 1999",,c14,,4240,,
13635,Pilbara (coast),117.67,-20.70,Andara Rockshelter,Rockshelter,Wk-2648,6380,70,,,Terebralia palustris shell,Marine Shell,70cm bsl,,Radiocarbon,,Marine,Closed,U,"Veth 1995, Bradshaw, 1995, O'Connor, 1999",,c14,,6380,,
13636,Pilbara (coast),116.77,-20.61,Burrup Peninsula middens and rockshelter,Rockshelter,SUA-1873,98,7,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Closed,U,"Vinnicombe 1987, Hook pers comm",,c14,,98,,
13637,Pilbara (coast),116.5,-20.4,Clarke's Cave,Rockshelter,Wk-3337,1470,50,,,Anadara granosa shell,Marine Shell,,0,Radiocarbon,,Marine,Closed,U,"Bradshaw, 1995","Upper date for sparse deposit of bone, grinding material, ochre, shell and stone artefacts within a medium sized ironstone cave.",c14,,1470,Information within this entry has been inferred by authors - see Notes,
13638,Pilbara (coast),116.5,-20.4,Clarke's Cave,Rockshelter,Wk-3338,7140,170,,,Terebralia palustris shell,Marine Shell,,120,Radiocarbon,,Marine,Closed,U,"Bradshaw, 1995","Basal date for sparse deposit of bone, grinding material, ochre, shell and stone artefacts within a medium sized ironstone cave.",c14,,7140,Information within this entry has been inferred by authors - see Notes,
13639,Pilbara (coast),115.54,-20.43,Haynes Cave,Rockshelter,Wk-2906,7460,70,,,Marine shell,Marine Shell,Square 4/Spit 1,,Radiocarbon,,Marine,Closed,U,"Veth 1995, Hook pers comm",,c14,,7460,,
13640,Pilbara (coast),115.54,-20.43,Haynes Cave,Rockshelter,Wk-2719,7560,70,,,Marine shell,Marine Shell,Square 4/Spit 13,,Radiocarbon,,Marine,Closed,U,"Veth 1995, Hook pers comm",,c14,,7560,,
13641,Pilbara (coast),115.54,-20.43,Haynes Cave,Rockshelter,Wk-2907,7630,280,,,Charcoal,Charcoal,Square 4/Spit 5,,Radiocarbon,,Terrestrial,Closed,U,"Veth 1995, Hook pers comm",,c14,,7630,,
